id,year,week,player_name,player_name_normalized,stat_field,line,created_at
46,2026,1,Amon-Ra St. Brown,amonra st brown,rec,6.5,2026-09-04 20:37:34.695026
20,2026,1,Amon-Ra St. Brown,amonra st brown,rec_yds,76.5,2026-09-04 15:39:18.582943
126,2026,1,Ashton Jeanty,ashton jeanty,any_td,0.5,2026-09-08 18:39:30.199837
60,2026,1,Baker Mayfield,baker mayfield,pass_td,1.5,2026-09-04 20:37:34.695026
82,2026,1,Bijan Robinson,bijan robinson,rush_att,17.5,2026-09-04 20:37:34.695026
10,2026,1,Bijan Robinson,bijan robinson,rush_yds,73.5,2026-09-04 15:39:18.582943
93,2026,1,Bijan Robinson,bijan robinson,rush_rec_yds,113.5,2026-09-04 20:37:34.695026
72,2026,1,Bo Nix,bo nix,pass_int,0.5,2026-09-04 20:37:34.695026
76,2026,1,Bo Nix,bo nix,pass_att,34.5,2026-09-04 20:37:34.695026
3,2026,1,Bo Nix,bo nix,pass_yds,218.5,2026-09-04 15:39:18.582943
122,2026,1,Britain Covey,britain covey,any_td,0.5,2026-09-08 18:39:30.199837
67,2026,1,Brock Purdy,brock purdy,pass_int,0.5,2026-09-04 20:37:34.695026
66,2026,1,Brock Purdy,brock purdy,pass_cmp,21.5,2026-09-04 20:37:34.695026
88,2026,1,Brock Purdy,brock purdy,pass_rush_yds,265.5,2026-09-04 20:37:34.695026
78,2026,1,Brock Purdy,brock purdy,pass_att,33.5,2026-09-04 20:37:34.695026
30,2026,1,Brock Purdy,brock purdy,pass_yds,243.5,2026-09-04 20:37:34.695026
22,2026,1,CeeDee Lamb,ceedee lamb,rec_yds,73.5,2026-09-04 15:39:18.582943
48,2026,1,CeeDee Lamb,ceedee lamb,rec,5.5,2026-09-04 20:37:34.695026
50,2026,1,Chris Bell,chris bell,any_td,0.5,2026-09-04 20:37:34.695026
21,2026,1,Chris Olave,chris olave,rec_yds,75.5,2026-09-04 15:39:18.582943
47,2026,1,Chris Olave,chris olave,rec,6.5,2026-09-04 20:37:34.695026
96,2026,1,Christian McCaffrey,christian mccaffrey,rush_rec_yds,100.5,2026-09-04 20:37:34.695026
