id,year,week,submitter,prop_bet_id,pick,submitted_at
26,2026,1,AntonioT,12,over,2026-09-08 19:10:22.065825
27,2026,1,AntonioT,27,over,2026-09-08 19:10:22.065825
28,2026,1,AntonioT,93,over,2026-09-08 19:10:22.065825
29,2026,1,AntonioT,96,over,2026-09-08 19:10:22.065825
30,2026,1,AntonioT,20,under,2026-09-08 19:10:22.065825
1,2026,1,NathanP,53,under,2026-09-08 18:41:31.075018
2,2026,1,NathanP,54,under,2026-09-08 18:41:31.075018
3,2026,1,NathanP,51,over,2026-09-08 18:41:31.075018
4,2026,1,NathanP,49,under,2026-09-08 18:41:31.075018
5,2026,1,NathanP,14,over,2026-09-08 18:41:31.075018
